unit_id,unit_of_measure,description
681535,m3,Cubic Metres
681536,FTE Working Hour,Full Time Equivalent Working Hour
681537,kg,Kilogrammes
681538,km,Kilometres
681539,kW⋅h,Kilowatt Hour
681540,Kyoto Protocol - Standard,Kyoto Protocol - Standard
681541,litres,Litres
681542,Mass used kg / GWP100,Kilogrammes per global warming potential (GWP) values for 100-year time horizon relative to carbon dioxide
681543,miles,Miles
681544,million litres,Million Litres
681545,passenger⋅km,Passenger Kilometres
681546,Room per night,Room per night
681547,tonnes,Tonnes
681548,GJ,Gigajoule
681549,cc,Cubic Centimetres
681551,litres/kg,Litres per Kilogrammes
681552,kg/kW⋅h,Kilograms per Kilowatt Hour
681553,MW⋅h ,Megawatt Hour
681554,kg CO2e/kW⋅h,Kilogrammes of Carbon Dioxide Equivalent per Kilowatt Hour
681555,kg CO2e/litre,Kilogrammes of Carbon Dioxide Equivalent per Litre
681556,kg CO2e/m3,Kilogrammes of Carbon Dioxide Equivalent per Cubic Metre
681557,kg CO2e/kg,Kilogrammes of Carbon Dioxide Equivalent per Kilogramme
681558,kg CO2e/tonne,Kilogrammes of Carbon Dioxide Equivalent per Tonne
681669,kg CO2e/mile,Kilogrammes of Carbon Dioxide Equivalent per Mile
681670,kg CO2e/passenger⋅km,Kilogrammes of Carbon Dioxide Equivalent per Passenger Kilometre 
681671,kg CO2e/km,Kilogrammes of Carbon Dioxide Equivalent per Kilometre
681672,kg CO2e,Kilogrammes of Carbon Dioxide Equivalent
681673,tonnes CO2e,Tonnes of Carbon Dioxide Equivalent
681674,kg CO2e/room per night,Kilogrammes of Carbon Dioxide Equivalent per Room per Night
681675,kg CO2e/FTE Working Hour,Kilogrammes of Carbon Dioxide Equivalent per Full Time Equivalent Hour
